doct_Id,dept_Id,FName,LName,Gender,contact_No,surgeon_Type,office_No
1001,101,Dr. Najeeb,Basir,M,+92 3226702403,,1
1002,101,Dr. Kamran,Ahmed,M,+92 3509542256,,1
1003,101,Dr. Sheikh,M. Ilyas,M,+92 3091755242,,2
1004,101,Dr. Hanif,Kamal,M,+92 3581729194,,2
1005,101,Dr. Muhammad,Haroon Hamid,M,+92 3242799723,,3
1006,101,Dr. Sana,Farooq,F,+92 3196502416,,3
1007,101,Dr. Amna,Najeeb,F,+92 3161052771,,3
1008,102,Dr. Tahir,Hamid,M,+92 3533852372,,21
1009,102,Dr. Muhammad,Saleem Ahmad Siddiqui,M,+92 3596557907,,21
1010,102,Dr. Sehran,Bhatti,M,+92 3160554994,,22
1011,102,Dr. Hafsa,Shezad,F,+92 3081566713,,22
1012,102,Dr. Asiya,Rehman,F,+92 3213485755,,22
1013,103,Dr. Saifullah,Mir,M,+92 3044975087,,36
1014,103,Dr. Asif,Abbas Naqvi,M,+92 3418235781,,36
1015,103,Dr. Saba,Asad Ansari,F,+92 3260892238,,36
1016,104,Dr. Kamran,Zaidi,M,+92 3184230194,,51
1017,104,Dr. Muhammad,Numair Younis,M,+92 3109510740,,51
1018,104,Dr. Sonia,Ali,F,+92 3390111485,,52
1019,104,Dr. Sara,Rasul,F,+92 3261404815,,52
1020,105,Dr. Waqas,Javed,M,+92 3187139066,,66
1021,105,Dr. Shahbaz,Ali,M,+92 3559695698,,66
1022,105,Dr. Abida,Raza,F,+92 3257844193,,67
1023,105,Dr. Shazia,Fakhar,F,+92 3556846194,,67
1024,106,Dr. Muhammad,Imran,M,+92 3123586198,,81
1025,106,Dr. Abdul,Haleem,M,+92 3372250452,,81
1026,106,Dr. Tania,Shaikh,F,+92 3162625272,,81
1027,107,Dr. Raza,Hasnain,M,+92 3348510548,,96
1028,107,Dr. Aqib,Sohail,M,+92 3243290679,,96
1029,107,Dr. Abdul,Wahab Yousafzai,M,+92 3065634959,,97
1030,107,Dr. Azib,Aftab,M,+92 3424792020,,97
1031,107,Dr. Imran,Jawaid,M,+92 3368898597,,98
1032,107,Dr. Atta,Ur Rehman,M,+92 3028850250,,98
1033,107,Dr. Arsalan,Ahmad,M,+92 3020687359,,99
1034,107,Dr. Shafiq,Yasin,M,+92 3341630386,,99
1035,107,Dr. Khawar,Abbas Chaudhry,M,+92 3214113617,,100
1036,107,Dr. Rajesh,Kumar Khatri,M,+92 3340107662,,100
1037,107,Dr. Zulfiqar,Haider,M,+92 3472202015,,101
1038,107,Dr. Javaid,Iqbal Khattak,M,+92 3582421559,,101
1039,107,Dr. Muhammad,Ahmed Raza Butt,M,+92 3014818939,,102
1040,107,Dr. Afsar,Ali Bhatti,M,+92 3129728651,,102
1041,107,Dr. Shahid,Sami,M,+92 3210006771,,103
1042,107,Dr. Muhammad,Muzaffar Mahmood,M,+92 3415034546,,103
1043,107,Dr. Ghulam,Mujtaba Zafar,M,+92 3138409299,,104
1044,107,Dr. Zahid,Iqbal,M,+92 3035007961,,104
1045,107,Dr. Asim,Ateeq,M,+92 3217918013,,105
1046,107,Dr. Khawar,Abbas,M,+92 3592213060,,105
1047,107,Dr. Muhammad,Moinuddin,M,+92 3052030984,,106
1048,107,Dr. Imran,Ijaz Haider,M,+92 3331532604,,106
1049,107,Dr. Athar,Niaz Rana,M,+92 3496072213,,107
1050,107,Dr. Muhammad,Javid Bhutta,M,+92 3534723440,,107
1051,107,Dr. Syed,Hassan Abid,M,+92 3156340494,,108
1052,107,Dr. Aqeel,Ahmed Shaikh,M,+92 3015398898,,108
1053,107,Dr. Musab,Riaz,M,+92 3189329471,,109
1054,107,Dr. Muhammad,Shahzad,M,+92 3448619623,,109
1055,107,Dr. Ashraf,Jamal,M,+92 3314009258,,110
1056,107,Dr. Asad,Akram Faruqi,M,+92 3352069079,,110
1057,107,Dr. Mahmud,Haider Javed,M,+92 3369623298,,111
1058,107,Dr. Muhammad,Zubair,M,+92 3501103300,,111
1059,107,Dr. Rashid,Akram,M,+92 3585210092,,112
1060,107,Dr. Muhammad,Amir,M,+92 3395530185,,112
1061,107,Dr. Sarfraz,Latif,M,+92 3519514526,,112
1062,107,Dr. Muhammad,Iqbal,M,+92 3139805967,,112
1063,107,Dr. Rizwan,Khan,M,+92 3520176989,,113
1064,107,Dr. Muhammad,Shahzad,M,+92 3390813700,,113
1065,107,Dr. Muhammad,Imtiaz,M,+92 3495900749,,113
1066,107,Dr. Rehan,Bin Asif,M,+92 3333011189,,113
1067,107,Dr. Farouk,Atiq Babri,M,+92 3535506229,,114
1068,107,Dr. Fawad,Ahmad Randhawa,M,+92 3261097106,,114
1069,107,Dr. Amjad,Ali Bukhari,M,+92 3594416889,,114
1070,107,Dr. Humayoon,Sarwat,M,+92 3527028949,,114
1071,107,Dr. Seema,Asif,F,+92 3440785149,,115
1072,107,Dr. Saba,Shabbir Sheikh,F,+92 3145612777,,115
1073,107,Dr. Lubna,Habib,F,+92 3153196042,,115
1074,107,Dr. Zahra,Shah,F,+92 3513704861,,115
1075,107,Dr. Ayesha,Ashfaq,F,+92 3394103247,,116
1076,107,Dr. Amna,Tariq,F,+92 3528050754,,116
1077,107,Dr. Urooj,Naz,F,+92 3073761282,,116
1078,107,Dr. Tayyaba,Iqbal,F,+92 3508895469,,116
1079,108,Dr. Mehboob,Chhipa,M,+92 3471486774,,126
1080,108,Dr. Anwar,Zeb Khan,M,+92 3598236341,,126
1081,108,Dr. Tahir,Siddique,M,+92 3150939417,,127
1082,108,Dr. Ahmed,Ali,M,+92 3496547160,,127
1083,108,Dr. Muhammad,Arshad,M,+92 3228919638,,128
1084,108,Dr. Syed,Ahmad Sultan Ali,M,+92 3210217716,,128
1085,108,Dr. Sabahat,Hameed,F,+92 3536687886,,129
1086,108,Dr. Huma,Husnain,F,+92 3499951508,,129
1087,108,Dr. Rukhsana,Babar,F,+92 3319073692,,130
1088,108,Dr. Bushra,Ammad Taimuri,F,+92 3430714216,,130
1089,108,Dr. Maria,Syed,F,+92 3428185217,,131
1090,108,Dr. Sajida,Imran,F,+92 3251358881,,131
1091,108,Dr. Sadia,Sarwar,F,+92 3278210961,,132
1092,108,Dr. Bushra,Shahida,F,+92 3549876965,,132
1093,109,Dr. Javaid,Iqbal,M,+92 3086026199,,146
1094,109,Dr. Junaid,Khan Lodhi,M,+92 3388796459,,146
1095,109,Dr. Shamaila,Tanveer,F,+92 3477360560,,147
1096,109,Dr. Ghazia,Qasmi,F,+92 3312718198,,147
1097,109,Dr. Zeba,I. Matin,F,+92 3203064114,,147
1098,110,Dr. Fauzia,Faridi,F,+92 3578279830,,161
1099,110,Dr. Kanza,Sohail,F,+92 3520519062,,161
1100,110,Dr. Riffat,Saeed,F,+92 3505739437,,162
1101,110,Dr. Aisha,Jamil,F,+92 3072536627,,162
1102,110,Dr. Neelofar,Leghari,F,+92 3107904116,,163
1103,110,Dr. Mehmooda,Wasim,F,+92 3077263167,,163
1104,110,Dr. Shazia,Sheikh,F,+92 3562427740,,164
1105,110,Dr. Amtullah,Zarreen,F,+92 3059830092,,164
1106,111,Dr. Kishwar,Nazli,M,+92 3503098178,,176
1107,111,Dr. Nasir,Sulaiman,M,+92 3368721737,,176
1108,111,Dr. Sadia,Zulfiqar Cheema,F,+92 3153691076,,177
1109,111,Dr. Sadia,Aziz,F,+92 3457201792,,177
